天堂电影院,1988,意大利 法国,剧情 爱情,9.2,658932,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
罗马假日,1953,美国,喜剧 剧情 爱情,9.1,918011,爱情哪怕只有一天。
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装,9.4,415480,经典之作，历久弥新。
死亡诗社,1989,美国,剧情,9.2,687549,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
绿皮书,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1574306,去除成见，需要勇气。
指环王1：护戒使者,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,814295,传说的开始。
黑客帝国,1999,美国,动作 科幻,9.1,807011,视觉革命。
教父2,1974,美国,剧情 犯罪,9.3,527452,优雅的孤独。
狮子王,1994,美国,动画 冒险 歌舞,9.1,803762,动物版《哈姆雷特》。
辩护人,2013,韩国,剧情,9.2,571068,电影的现实意义大过电影本身。
饮食男女,1994,中国台湾 美国,剧情 家庭,9.2,592231,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部,1999,美国 德国 意大利,剧情 动作 悬疑 惊悚,9.0,816631,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
美丽心灵,2001,美国,传记 剧情,9.1,741182,爱是一切逻辑和原由。
本杰明·巴顿奇事,2008,美国,剧情 爱情 奇幻,9.0,948725,在时间之河里感受溺水之苦。
穿条纹睡衣的男孩,2008,英国 美国,剧情 战争,9.2,537727,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴,2006,德国,剧情 悬疑,9.2,543897,别样人生。
情书,1995,日本,剧情 爱情,8.9,1060405,暗恋的极致。
两杆大烟枪,1998,英国,剧情 喜剧 犯罪,9.1,575467,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
西西里的美丽传说,2000,意大利 美国,剧情 战争 情色,8.9,939567,美丽无罪。
音乐之声,1965,美国,剧情 传记 爱情 歌舞,9.1,577747,用音乐化解仇恨，让歌声串起美好。
看不见的客人,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1206570,你以为你以为的就是你以为的。
拯救大兵瑞恩,1998,美国,剧情 战争,9.1,623403,美利坚精神输出大片No1.
阿凡达,2009,美国,动作 科幻 冒险,8.8,1363010,绝对意义上的美轮美奂。
飞越疯人院,1975,美国,剧情,9.1,530234,自由万岁。
小鞋子,1997,伊朗,剧情 儿童 家庭,9.2,394657,奔跑的孩子是天使。
哈利·波特与死亡圣器(下),2011,美国 英国,奇幻 冒险,9.0,793178,10年的完美句点。
沉默的羔羊,1991,美国,剧情 犯罪 惊悚,8.9,851224,安东尼·霍普金斯的顶级表演。
禁闭岛,2010,美国,剧情 悬疑 惊悚,8.9,934207,昔日翩翩少年，今日大腹便便。
布达佩斯大饭店,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,888307,小清新的故事里注入了大历史的情怀。
致命魔术,2006,英国 美国,剧情 悬疑 惊悚,8.9,826177,孪生蝙蝠侠大战克隆金刚狼。
蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,901290,人的命运被自己瞬间的抉择改变。
海豚湾,2009,美国,纪录片,9.3,348686,海豚的微笑，是世界上最高明的伪装。
心灵捕手,1997,美国,剧情,8.9,681236,人生中应该拥有这样的一段豁然开朗。
美国往事,1984,美国 意大利,犯罪 剧情,9.2,397078,往事如烟，无处祭奠。
低俗小说,1994,美国,剧情 喜剧 犯罪,8.9,800809,故事的高级讲法。
功夫,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.8,1064367,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
摩登时代,1936,美国,剧情 喜剧 爱情,9.3,287758,大时代中的人生，小人物的悲喜。
春光乍泄,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,605402,爱情纠缠，男女一致。
哈利·波特与阿兹卡班的囚徒,2004,英国 美国,奇幻 冒险,8.9,687137,不一样的导演，不一样的哈利·波特。
喜剧之王,1999,中国香港,喜剧 剧情 爱情,8.8,930940,我是一个演员。
超脱,2011,美国,剧情,9.0,559736,穷尽一生，我们要学会的，不过是彼此拥抱。
七宗罪,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,913399,警察抓小偷，老鼠玩死猫。
致命ID,2003,美国,剧情 悬疑 惊悚,8.9,787874,最不可能的那个人永远是最可能的。
杀人回忆,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,680658,关于连环杀人悬案的集体回忆。
红辣椒,2006,日本,动画 悬疑 科幻 惊悚,9.1,438939,梦的勾结。
加勒比海盗,2003,美国,动作 冒险 奇幻,8.8,826334,约翰尼·德普的独角戏。
狩猎,2012,丹麦 瑞典,剧情,9.1,372966,人言可畏。
被嫌弃的松子的一生,2006,日本,剧情 歌舞,8.9,681748,以戏谑来戏谑戏谑。
7号房的礼物,2013,韩国,剧情 喜剧 家庭,8.9,536519,《我是山姆》的《美丽人生》。
哈利·波特与密室,2002,英国 美国,奇幻 冒险,8.8,714145,魔法的密室之门已打开...
请以你的名字呼唤我,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.9,691430,沉醉在电影的情感和视听氛围中无法自拔。
一一,2000,中国台湾 日本,剧情 爱情 家庭,9.1,370394,我们都曾经是一一。
唐伯虎点秋香,1993,中国香港,喜剧 爱情 古装,8.7,1033298,华太师是黄霑，吴镇宇四大才子之一。
断背山,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,685551,每个人心中都有一座断背山。
剪刀手爱德华,1990,美国,剧情 奇幻 爱情,8.7,1006350,浪漫忧郁的成人童话。
勇敢的心,1995,美国,动作 传记 剧情 历史 战争,8.9,545086,史诗大片的典范。
入殓师,2008,日本,剧情,8.9,640946,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
爱在黎明破晓前,1995,美国 奥地利 瑞士,剧情 爱情,8.8,647773,缘分是个连绵词，最美不过一瞬。
第六感,1999,美国,剧情 悬疑 惊悚,8.9,534859,深入内心的恐怖，出人意料的结局。
重庆森林,1994,中国香港,剧情 爱情,8.8,777095,寂寞没有期限。
蝙蝠侠：黑暗骑士崛起,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,692672,诺兰就是保证。
幽灵公主,1997,日本,动画 奇幻 冒险,8.9,503836,人与自然的战争史诗。
菊次郎的夏天,1999,日本,剧情 喜剧,8.9,571609,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
天使爱美丽,2001,法国 德国,剧情 喜剧 爱情,8.7,934953,法式小清新。 
超能陆战队,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,972241,Balalala~~~
爱在日落黄昏时,2004,美国 法国,剧情 爱情,8.9,532486,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
阳光灿烂的日子,1994,中国大陆 中国香港,剧情 爱情,8.9,593766,一场华丽的意淫。
小森林 夏秋篇,2014,日本,剧情,9.0,410683,那些静得只能听见呼吸的日子里，你明白孤独即生活。
完美的世界,1993,美国,剧情 犯罪,9.1,301417,坏人的好总是比好人的好来得更感人。
甜蜜蜜,1996,中国香港,剧情 爱情,8.9,518040,相逢只要一瞬间，等待却像是一辈子。
无人知晓,2004,日本,剧情,9.1,304401,我的平常生活就是他人的幸福。
消失的爱人,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,896666,年度最佳date movie。
借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险,8.9,529669,曾经的那段美好会沉淀为一辈子的记忆。
倩女幽魂,1987,中国香港,爱情 奇幻 武侠 古装,8.8,704188,两张绝世的脸。 
小森林 冬春篇,2015,日本,剧情,9.0,366394,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
侧耳倾听,1995,日本,剧情 爱情 动画,8.9,443300,少女情怀总是诗。
时空恋旅人,2013,英国,喜剧 爱情 奇幻,8.8,632617,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
幸福终点站,2004,美国,喜剧 剧情 爱情,8.8,546517,有时候幸福需要等一等。 
寄生虫,2019,韩国,剧情,8.8,1318068,和谐的生活离不开摸头与被摸头。
萤火之森,2011,日本,剧情 爱情 动画 奇幻,8.9,512965,触不到的恋人。
教父3,1990,美国,剧情 犯罪,9.0,356554,任何信念的力量，都无法改变命运。
一个叫欧维的男人决定去死,2015,瑞典,剧情,8.9,450716,惠及一生的美丽。
怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,641032,不要给它起名字，起了名字就有感情了。
未麻的部屋,1997,日本,动画 奇幻 惊悚,9.1,312592,好的剧本是，就算你猜到了结局也猜不到全部。
玩具总动员3,2010,美国,喜剧 动画 奇幻 冒险,8.9,492655,跨度十五年的欢乐与泪水。
傲慢与偏见,2005,法国 英国 美国,剧情 爱情,8.7,762651,爱是摈弃傲慢与偏见之后的曙光。
玛丽和马克思,2009,澳大利亚 美国,剧情 喜剧 动画,8.9,411389,你是我最好的朋友，你是我唯一的朋友 。
哈利·波特与火焰杯,2005,英国 美国,悬疑 奇幻 冒险,8.8,622301,揭露人性的丧尸题材力作。
神偷奶爸,2010,美国 法国,喜剧 动画 冒险,8.6,915272,Mr. I Don&#39;t Care其实也有Care的时候。
被解救的姜戈,2012,美国,剧情 动作 西部 冒险,8.8,585399,热血沸腾，那个低俗、性感的无耻混蛋又来了。
告白,2010,日本,剧情 悬疑,8.8,652444,没有一人完全善，也没有一人完全恶。
大鱼,2003,美国,剧情 家庭 奇幻 冒险,8.8,550034,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
新世界,2013,韩国,剧情 犯罪,8.9,404381,要做就做得狠一点，这样才能活下去。
哪吒闹海,1979,中国大陆,冒险 动画 奇幻,9.2,247607,想你时你在闹海。
射雕英雄传之东成西就,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,609652,百看不厌。 
阳光姐妹淘,2011,韩国,剧情 喜剧,8.8,575984,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
